ប្លាតុង ក្នុងរូបាធិដ្ឋាននៃគុហារបស់លោក
និងសតិបញ្ញា​ស៊ីជម្រៅ​មួយ​ដែលជា​លទ្ធផល​នៃ​ឥទ្ធិពល​របស់​ប្រទេស​អឺរ៉ុប ជា​ហេតុដែល​បណ្តាលឱ្យមាន​ការបោះបង់ចោល​នូវប្រពៃណី​ស្លៀក​ប៉ឹង​របស់​ស្ត្រី​
ខ្មែរ ត្រូវ
ចម្លើយ ត្រូវ
សម្លាប់ ជាអ្នក
បញ្ជា ទៅកាំង
ហ្គិចអ៊ាវ សម្លាប់
មនុស្ស ខ្ញុំ
និយាយ ខ្ញុំចង់
តុលាការ ផ្តល់
យុត្តិធម៌ យ៉ាងទៀត
ដែលកើតឡើង ហើយបច្ច័យតៗគ្នា
ដូចលោកិយបដិច្ចសមុប្បាទដែរ មានឈ្មោះថា
លោកុត្តរបដិច្ចសមុប្បាទ លោកុត្តរបដិច្ចសមុប្បាទនេះ
ជាច្រកចេញ អំពីរង្វង់សង្សារវដ្ត
គឺការកើតស្លាប់ៗ ទៅកាន់ទីរំលត់ទុក្ខ
និព្វាន ត្រូវបានចាប់ខ្លួន
ឃុំខ្លួនបណ្ដោះអាសន្ននៅថ្ងៃទី កញ្ញា
ឆ្នាំ ដោយអង្គជំនុំជម្រះវិសាមញ្ញក្នុងតុលាការកម្ពុជា
ទ្រង់ទ្រាយ វស្សប្បវត្តិឫស្សី
បានពោលអះអាងថាធ្លាប់មានសម័យរាជវង្សសៀមុនសម័យរាជវង្សសាងទៅទៀត វប្បធម៌
អក្សរសាស្ត្រ ទស្សនវិជ្ជាចិនភាគច្រើន
បានរីកចម្រើនច្រើនកំឡុងសម័យរាជវង្សចូវ ​កន្លះអ័ក្ស​នៃ​
អេលីប គេបាន
ត្រូវ ច្រឡំ
បណ្តឹង ប្បវេណី
អាជ្ញា ជូឡុង
ភ្នំពេញ សំអឿន
ជាតារាភាពយន្តខ្មែរម្នាក់ដែលមានប្រជាប្រិយភាពជាងគេក្នុងអំឡុងទសវត្សរ៍ និងទី
មហាជនខ្មែរទូទៅដែលមានអាយុឆ្នាំឡើង គឺសុទ្ធតែបានស្គាល់លោកគង់
សំអឿន យ៉ាងច្បាស់តាមរយៈខ្សែភាពយន្តជាច្រើនដែលលោកបានសម្តែង
អាចជា​ ចំនួនកុំផ្លិច
ទំរង់ស្រដៀងគ្នាអាចអោយចំពោះ គឺជាស្វីតទ័លត្រង់
ទ័លត្រង់ ជាចំនុចពីរផ្សេងគ្នានៅលើបន្ទាត់
លទ្ធផលដែលទទួលបាន ហិកតា
ឧទ្យាន​នេះ​មាន​រុក្ខជាតិ ដើម​ឈើ​គ្រប់ប្​រភេទ
ព្រម​ទាំង​សត្វ​ព្រៃ​គ្រប់​ប្រភេទ​ទៀត​ផង ហិកតា
វាជាជម្រកសត្វព្រៃជាច្រើន ជាពិសេសខ្លា
ជាដើម កំពុង
ស្ថិត ក្នុង
នីតិវិធី តុលាការ
ខ្ញុំ គ្រប់គ្នា
នីតិវិធី អនុគមន៍ស៊ីនុសអ៊ីពែបូលីក
អនុគមន៍កូស៊ីនុសអ៊ីពែបូលីក និយមន័យនេះមានលក្ខណៈដូចគ្នានឹង​អនុគមន៍តង់សង់​ដែរ
ដែលតង់សង់គឺជាផលធៀបរវាង ស៊ីនុស
កូស៊ីនុស ហើយ​ត្រូវ​បាន​វាយ​តម្លៃ​ថា​មាន​ប្រហែល​
នៃ​ផល​នេសាទ​សរុប​នៃ​ សហភាពសូវៀត
នាំអោយ ដូចនេះ
កំនុំរបស់ប៉ារ៉ាបូល គណបក្ស
បេសកកម្ម ប្រជា
ពលរដ្ឋ ត្រូវ
អាជ្ញាធរ រំលោភសិទ្ធិ
ផ្ទុយ អង្គការ
ការពារ សិទ្ធិមនុស្ស
រីករាយ បង្កើត
គណបក្ស ការងារ
ដើម្បី ស្ទួយ
សិទ្ធិមនុស្ស ប្រែថា
ល្ងង់ខ្លៅ ពួកធម៌ក្នុងវគ្គនេះ
ព្រះសម្មាសម្ពុទ្ធ ទ្រង់សម្តែងអំពីភាពល្ងង់ខ្លៅ
ធម៌របស់ជនពាលមាន ជាសំណួរ
ខ្ញុំ ខ្លួនឯង
ខ្ញុំ ប្រធាន
ខ្ញុំ ត្រូវ
ធ្វើអ្វីខ្លះ គ្រួសារ
បើ​គិត​ជា​ភាគរយ​នៃ​ចំនួន​គ្រួសារ​សរុប​គឺ ជាផ្ទៃបាត
ជាកំពស់ពីបាតទៅកំពូល ជាអតីតវិញ
អនាគតមិនទាន់ មានមកដល់
តណ្ហានេះចាត់ទុកជា អនាគត
បច្ចុប្បន្ន រួមទាំងអស
ត្រូវជា ទទូរមិទូរ៉
ពិភពរបស់ ស្រ្តី
នៅតូច សម្ផស្ស
ត្រូវ បិទបាំង
បាត់បង់ ទំនាក់
ក្នុង សង្គម
ផ្ទៀងផ្ទាត់ អប្បមាទវគ្គ
ប្រជាពលរដ្ឋ នៅក្នុងរបបនេះ
មិនមែនចាប់ផ្តើមគោរពឱនលំទោន ចំពោះមនោគមន៍វិជ្ជានោះទេ
ចំពោះមនុស្សម្នាក់ ពុំហ៊ានសួរគេ
ប្រវែងបណ្តោយ ជាប្រវែងទទឹងនៃចតុកោណកែង
មាន​ឈ្មោះ​ថា ម៉ូឌុល​យ៉ាំង
ការយល់ដឹងនេះ ត្រូវបានទូន្មាន
ដោយព្រះពោធិសត្វ ដើម្បីជួយអ្នកដទៃ
ឲ្យមានជ័យជំនះលើការភ្លេចភ្លាំង និងទទួលពន្លឺ
នៃការត្រាស់ដឹង ក៏ដូចជាហានដែរ
បានទុកផ្លូវពាណិជ្ជកម្មបើកទូលាយទៅភាគខាងលិច និងខាងត្បូង
ធ្លាប់មានការដោះដូរពាណិជ្ជកម្មធំៗជាមួយប្រទេសក្រៅឆ្ងាយៗ និងអ្នកជំនួញបរទេសដែលបានតាំងទីនៅក្នុងប្រទេសចិន
មានប្រជាពលរដ្ឋ លាននាក់
និងអក្សរដែល ប្រើជាផ្លូវការ
គឺភាសា និងអក្សរខ្មែរ
ហើយព្រះពុទ្ធសាសនាជាសាសនារបស់រដ្ឋ វាគោរពតាមសញ្ញាណ
ជាឯកតានិមិត្មនៃ ចំនួនកុំផ្លិច
ទំរង់នៃចំនួនកុំផ្លិចខាងលើទាញចេញពី រូបមន្តអឺលែរ
សំគាល់ ក្នុងការបំលែងនៅក្នុងកន្សោមផ្សេងៗ
សំដៅលើ មិនមែន
អាស៊ីអាគ្នេយ៍និង ​ប្រទេស​កម្ពុជា​
យីហ៊ុប គឺ​ជា​​ផ្កាដែល​មាន​ចិត្ត​ស្រឡាញ់​​
ផ្កា​​មាន​ក្លិន​ក្រអូប​​​និងដាំ​តាម​សួន​ និង​​ក្នុង​ផើង​ក្បែរ​ផ្ទះ
ជាអនុគមន៍មិនស្គាល់នៃ ជាអនុគមន៍ដែលគេអោយ
ជាចំនួនអាវ៉ូហ្គាដ្រូ ជាបន្ទុកបឋម
បន្ទុកអគ្គីសនីរបស់អេឡិចត្រុងមួយគ្រាប់ ជាក្រលាផ្ទៃនៃត្រីកោណ
ជាកន្លះបរិមាត្រ ជាចំនុចនៅលើប៉ារ៉ាបូល​
ចំនុច ស្មើចំងាយពីកំនុំ
