ວິທີການລ້ຽງລູກແບບຜິດໆ ທີ່ພໍ່ແມ່ຄວນຮູ້
ກຽມດຳເນີນຄະດີຕາມກົດໝາຍ ງານມະຫາກໍານັດພົບແຮງງານປະຈໍາປີ
ເສດຖະກິດຈີນຂະຫຍາຍໂຕດີ ຄົນທຸກຍາກຫຼຸດລົງ
ມຸ່ງໜ້າລຶບລ້າງໃຫ້ໝົດພາຍໃນ ເລີ່ມແລ້ວ
ໂຄງການກໍ່ສ້າງອາຄານໂຮງໝໍມະໂຫສົດຫຼັງໃໝ່ ໂຄງການກໍ່ສ້າງທາງລົດໄຟລາວຈີນ
ກຽມຈ່າຍເງິນຊົດເຊີຍໃຫ້ຜູ້ໄດ້ຮັບຜົນກະທົບ ງວດທີ
ຫຼວງພະບາງ ຈັດງານຖີບລົດຫຼຸດຜ່ອນມົນລະພິດ
ສະຫຼອງປີທ່ອງທ່ຽວລາວ ຕິດຕາມ
ຮ່ວມງານກັບສະນຸກ ແນະນຳຕິຊົມ
ແຈ້ງບັນຫາການໃຊ້ງານ ສະຫງວນລິຂະສິດ
ບໍລິສັດ ເທັນເຊັນ
ປະເທດໄທ ຈຳກັດ
ກ່ຽວກັບ ສະນຸກ
ອອນໄລນ໌ ເຂົ້າສູ່ລະບົບ
ສົ່ງໃຫ້ໝູ່ຫຼາຍຄົນ ສົ່ງພ້ອມກັນຫຼາຍສຸດ
ອີເມວ ພິມອັກສອນຕາມຮູບ
ແບ່ງປັນ ກຸມພາ
ເປີດອ່ານ ຈໍານວນທີ່ຖືກແບ່ງປັນ
ຈໍານວນຄອມເມັ້ນ ຈຳປາບັດຕະບອງ
ລາວເຊີດ ແຈ້ງເຕືອນ
ເວີຊັ່ນ ຍັງບໍ່ມີວິທີປົດລ໋ອກ
ຜູ້​ບໍລິການ ການແກ້ໄຂ​
ດ້ານ​ຄວາມໝັ້ນຄົງ​ປອດ​ໄພ​ ສຳລັບ​ປົດ​ລ໋ອກ​ໄຟ​ລ໌​ຂໍ້​ມູນ​ທີ່​ຖືກ​ເຂົ້າ​ລະ​ຫັດ​ດ້ວຍ​
ທີ່ມີຊື່ສຽງຫຼາຍ​ໂຕເມື່ອ​ບໍ່​ເທົ່າໃດອາທິດທີ່​ຜ່ານມາ​ ພົບ​ວ່າ​ແຮັກ​ເກີ​ໄດ້ມີການ​ປັບປຸງ​
ຊຶ່ງ​ຍັງບໍ່​ສາມາດ​ປົດ​ລະ​ຫັດ​ໄດ້​ນອກ​ຈາກ​ຈະ​ຈ່າຍ​ເງິນຄ່າ​ໄຖ່​ ໄຟ​ລ໌​ທີ່​ຖືກ​ເຂົ້າ​ລະ​ຫັດ​ດ້ວຍ​
ພ້ອມ​ສະແດງ​ຂໍ້ຄວາມ​ເອີ້ນ​ຄ່າ​ໄຖ່​ແບບ​ໃໝ່​ ວິທີ​ການ​ເຂົ້າ​ລະ​ຫັດ​ຍັງ​ປ່ຽນ​ໄປ​ຈາກ​ເກົ່າ​ອີກ​ດ້ວຍ​
ໃນ​ການສ້າງ​ກະ​ແຈ​ສຳລັບ​ເຂົ້າ​ລະ​ຫັດ​ທີ່​ມີ​ຄວາມ​ຍາວ​ ຍິ່ງໄປກ່ວາ​ນັ້ນ​ຄື​
ເພື່ອ​ເຮັດໃຫ້ການ​ວິ​ເຄາະ​ມັນ​ແວ​​ເປັນໄປໄດ້​ຍາກ​ອີກ​ດ້ວຍ​ ຫາກໍ່​​ອັບ​ເດດ​
ລ່າ​ສຸດ​ໃນ​ມື້​ວັນສຸກ ສິງຫາ
ທີ່​ຜ່ານມາ​ ແຕ່​ກໍ່ຍັງ​ບໍ່​ສາມາດ​ໃຊ້​ປົດ​ລ໋ອກ​
ໂຮງຮຽນປະຖົມ ມັທຍົມຫລາຍແຫ່ງ
ໃນທົ່ວປະເທດ ຍັງບໍ່ສາມາດເປີດສົກຮຽນໄດ້
ໃນຕົ້ນເດືອນກັນຍາ ນີ້ຍ້ອນວ່າ
ໂຕະຕັ່ງ ຫ້ອງນ້ຳ
ແລະອຸປກອນການຮຽນ ການສອນຕ່າງໆ
ຖືກນ້ຳຖ້ວມເສັຍຫາຍໜົດ ຫລາຍໂຮງຮຽນ
ຈະຕ້ອງໃຊ້ເວລາສ້ອມແປງ ໃຫ້ກັບຄືນສູ່ສະພາບ
ດັ່ງເຈົ້າໜ້າທີ່ຜແນກສຶກສາທິການ ແລະກິລາ
ທ່ານນຶ່ງ ໄດ້ກ່າວຕໍ່ເອເຊັຍເສຣີ
ໃນວັນທີ ສິງຫາ
ນີ້ວ່າ ທ່ານກ່າວຕື່ມອີກວ່າ
ສຳລັບໂຮງຮຽນທີ່ບໍ່ເສັຍຫາຍບາງແຫ່ງ ກໍໄດ້ເປີດສົກຮຽນ
ເປັນປົກຕິ ແລະມີການສ້ອມແປງ
ສ່ວນທີ່ເປ່ເພໄປພ້ອມກັນ ເພື່ອບໍ່ໃຫ້ກະທົບຕໍ່ການຮຽນການສອນ
ໂຮງຮຽນທີ່ມີຜົນກະທົບ ຈາກນ້ຳຖ້ວມໜັກ
ມີຂໍ້ຫຍຸ້ງຍາກຫລາຍ ໃນຊ້ວງເປີດສົກຮຽນ
ແຂວງຄຳມ່ວນ ສວັນນະເຂດ
ເຊກອງ ຈຳປາສັກ
ອັດຕະປື ແລະແຂວງອຸດົມໄຊ
ສະເພາະຢູ່ແຂວງຄຳມ່ວນ ມີທັງໝົດ
ເມືອງ ຖືກນ້ຳຖ້ວມໜັກ
ໂຮງຮຽນຫລາຍແຫ່ງ ພ້ອມດ້ວຍອຸປກອນການຮຽນ
ກໍໄດ້ຮັບ ຄວາມເສັຽຫາຍ
ນອກຈາກນີ້ ຍັງມີລາຍງານຈາກທາງການ
ໃນວັນທີ ສິງຫາ
ທີ່ຜ່ານມາ ອີກວ່າ
ຢູ່ແຂວງຫຼວງພຣະບາງ ແຂວງຜົ້ງສາລີ
ແຂວງວຽງຈັນ ກໍໄດ້ຮັບຜົນກະທົບ
ຈາກນ້ຳປ່າໄຫລຊຸເຊັ້ນດຽວກັນ ການປ່ອຍນ້ຳຈາກເຂື່ອນ
ຟົດຟື້ນຫຼາຍມື້ນີ້ມາຊົມເບິ່ງວິດີໂອ ໜຶ່ງນາທີຂອງແຂວງຢຸນນານ
ຟົດຟື້ນຫຼາຍມື້ນີ້ມາຊົມເບິ່ງວິດີໂອ ໜຶ່ງນາທີຂອງແຂວງຢຸນນານ
ເລີ່ມຕັ້ງແຕ່ວັນທີ ຕຸລາສູນກາງສື່ມວນຊົນໃໝ່ຂອງໜັງສືພິມປະຊາຊົນແລະກົມບໍລິຫານເຄືອຂ່າຍອິນເຕີເນັດຂອງຫ້ອງການຄວາມປອດໄພອິນເຕີເນັດເຄື່ອນທີ່ແລະຂໍ້ມູນຂ່າວສານຂັ້ນສູນກາງພັກກອມມູນິດຈີນໄດ້ຮ່ວມເຜີຍແຜ່ວິດີໂອສັ້ນ
ໜຶ່ງນາທີຂອງປະເທດຈີນ ເຂດທ້ອງຖິ່ນຢ່າງເປັນລະບົບໃນວັນສຸດທ້າຍຂອງສັບປະດາວັນຊາດຈີນ
ວິດີໂອໜຶ່ງນາທີຂອງແຂວງຢຸນນານໄດ້ເຜີຍແຜ່ອອກຢ່າງເປັນທາງການ ວິດີໂອ
ໜຶ່ງນາທີຂອງແຂວງຢຸນນານໄດ້ປິ່ນອ້ອມຫົວຂໍ້ຂອງການປະຕິຮູບແລະການເປີດປະຕູສູ່ໂລກພາຍນອກຂອງຈີນຄົບຮອບ ປີເຊິ່ງໄດ້ຖ່າຍໃຫ້ເຫັນແມ່ລໍ້າລຳເຊແລະພູເຂົາທີ່ສວຍງາມປະເພນີທີ່ມີສີສັນຫຼາກຫຼາຍທີ່ດິນທີ່ອຸດົມສົມບູນຂະແໜງການທີ່ມີສີສັນພະລັງງານສີຂຽວການເປີດປະຕູສູ່ໂລກພາຍນອກແລະການຊ່ວຍເຫຼືອເພື່ອຫຼຸດພົ້ນອອກຈາກຄວາມທຸກຍາກເຊິ່ງໄດ້ສະແດງໃຫ້ເຫັນເຖິງຄວາມສະຫງ່າງາມອັນຍິ່ງໃຫຍ່ຂອງ
ແຂວງຢຸນນານທີ່ມີສະເໜ່ ທົ່ວໂລກຮ່ວມກັນເຊີຍຊົມຢ່າງເຕັມທີ່
ມັດທະຍົມຕອນຕົ້ນ ມັດທະຍົມຕອນປາຍ
ບໍລິຫານການເງິນ ຈັດຕັ້ງພະນັກງານ
ສະຖິຕິແຜນການ ກວດກາປະເມີນຜົນ
ຕິດຕໍ່ພວກເຮົາ ທ່ານກຳລັງຢູ່ທີ່
ຫນ້າທຳອິດ ຂ່າວກິລາ
ເປີດສາກແລ້ວກິລາມິດຕະພາບເຂດ ທີ່ເມືອງປາກແຊງ
ຂາສັນຈອນ ບໍ່ມີສະມາຊິກອອນໄລນ໌
ອອນໄລນ໌ ເພື່ອເປັນການຂໍ່ານັບຮັບຕ້ອນວັນສ້າງຕັ້ງພັກປະຊາຊົນປະຕິວັດລາວຄົບຮອບ
ປີແລະວັນສະຖາປະນາສາທາລະນະລັດປະຊາທິປະໄຕປະຊາຊົນລາວຄົບຮອບ ປີໃຫ້ມີບັນຍາກາດຍາກາດຟົດຟື້ນເມື່ຶອຕອນເຊົ້າຂອງວັນທີ
ຜ່ານມາທີ່ສະໜາມກິລາເມືອງປາກແຊງແຂວງຫຼວງພະບາງໄດ້ຈັດພິເປີດການແຂ່ງຂັນກິລາມິດຕະພາບເຂດ ຄັ້ງທີ
ປະຈຳປີ ຂື້ນຢ່າງເປັນທາງການໂດຍການໃຫ້ກຽດເຂົ້າຮ່ວມຂອງທ່ານຈັນສຸກພັນໂດລັກເຈົ້າເມືອງປາກແຊງທ່ານເອິງລໍສະຫວັນຫົວໜ້າ
ພະແນກສຶກສາທິການແລະກິລາແຂວງ ມີທ່ານເຈົ້າເມືອງຮອງເຈົ້າເມືອງຫົວໜ້າຮອງຫົວໜ້າຫ້ອງການສຶກສາທິການແລະກິລາເມືອງຄະນະນຳຂອງເມືອງ
ແຂວງອານຸກຳມະການຄູຝຶກນັກກິລາຕະຫຼອດຮອດພໍ່ແມ່ປະຊາຊົນບັນດາເຜົ່າຂອງເມືອງເຂົ້າຮ່ວມຢ່າງຫຼວງຫຼາຍ ໂອກາດດັ່ງກ່າວ
ທ່ານອານຸສັກພອນສະຫວັນຮອງເຈົ້າເມືອງປາກແຊງໄດ້ຂື້ນຜ່ານບົດລາຍງານການຈັດງານແຂ່ງຂັນດັ່ງກ່າວໃຫ້ຮູ້ວ່າ ຕາມການໝູນວຽນປ່ຽນກັນເປັນເຈົ້າພາບໃນການຈັດການແຂ່ງຂັນກິລາເຂດ
ເມືອງຄັ້ງທີ ນີ້ກໍ່ເພື່ອເປັນການພົບປະຜູກແໜ້ນຄວາມສາມັກຄີມິດຕະພາບພາຍໃນແລະພາຍນອກໃຫ້ແໜ້ນແຟ້ນກວ່າເກົ່າປັນການແລກປ່ຽນບົດຮຽນເຊິ່ງກັນແລະກັນພ້ອມທັງເປັນການທົດສອບກຳລັງແຮງເຕັກນິກຂອງນັກກິລາເມືອງອ້ອມຂ້າງດ້ວຍກັນເພື່ອກຽມເຂົ້າສູ່ການຈັດຕັ້ງປະຕິບັດພັດທະນາເສດທະກິດສັງຄົມຂອງແຂວງກໍ່ຄືເມືອງຂອງຕົນໂດຍສະເພາະແນ່ໃສ່ຜົນຜະລິດປີນີ້ໃຫ້ໄດ້ຮັບໝາກຜົນທີ່ດີ
ສຳລັບການຈັດງານແຂ່ງຂັນຄັ້ງນີ້ແມ່ນໄດ້ກຳນົດເອົາ ປະເພດກິລາຄື
ບານເຕະຊບານສົ່ງຊກະຕໍ້ຍຊເປຕັງຍຊໜ້າເກັກໝາກຂ່າງແລະແລ່ນລານ ແມັດຍຊ
ຂອງຂວັນລາງວັນມີ ລາງວັນໃນນີ້ມີຂັນລາງວັນຊະນະເລີດຈຳນວນ
ໜ່ວຍລາງວັນອັນດັບທີໜຶ່ງເປັນເງິນສົດ ກວ່າລ້ານກີບແລະງົບປະມານທີ່ນຳມາໃຊ້ໃນການຈັດການແຂ່ງຂັນຄັ້ງນີ້ໄດ້ມາຈາກການປະກອບສວ່ນຂອງພະນັກງານທະຫານຕໍ່າຫຼວດພາຍໃນເມືອງນັກທຸລະກິດຮ້າງຮ້ານບໍລິສັດຕ່າງໆລວມທັງໝົດໄດ້
ກວ່າລ້ານກີບ ໂອກາດດຽວກັນນີ້
ທ່ານຈັນສຸກພັນໂດລັກກໍ່ໄດ້ນຳເອົາຄວາມຢ້ຽມຢາມຖາມຂ່າວຄວາມສາມັກຄີໄມຕີຈິດມິດຕະພາບແລະຂໍ່ານັບຮັບຕ້ອນຊົມເຊີຍຕໍ່ການນຳຂອງບັນດາເມືອງຄະນະຮັບຜິດຊອບກິລາທີ່ໄດ້ນຳເອົານັກກິລາປະເພດຕ່າງໆເຂົ້າຮ່ວມງານແຂ່ງແຂ່ງຄັ້ງນີ້ພ້ອມນີ້ທ່ານຍັງໄດ້ຮຽກຮ້ອງໃຫ້ຄະນະກຳມະການຈົ່ງຕັດສິນດ້ວຍນ້ຳໃຈບໍລິສຸດ ເປັນກາງແລະຍຸດຕິທຳສຳລັບນັກກິລາຂໍໃຫ້ຫຼີ້ນດ້ວຍຄວາມສຸພາບມິດຕະພາບຮູ້ແພ້ຮູ້ຊະນະຮູ້ໃຫ້ອາໄພເຊິ່ງກັນແລະກັນເພື່ອໃຫ້ໄດ້ດ້ານສຸຂະພາບຄວາມສາມັກຄີຮັກແພງພ້ອມກັນສ້າງນັກກິລາເຂດ
ໃຫ້ມີຄວາມກ້າວໜ້າ ເກັ່ງມີຄວາມສາມາດທີ່ພຽບພ້ອມເຕັມໄປດ້ວຍຄຸນສົມບັດເຕັກນິກພິກໄຫວແລະເປັນຕົວແທນຂອງນັກກິລາເຂດເພື່ອເຂົ້າຮ່ວມການແຂ່ງຂັນຢູ່ເຂດຕ່າງໆຂອງແຂວງແລະງານອື່ນໆ
ຕອນທ້າຍຂອງພິທີທ່ານຍັງໃຫ້ກຽດ ລັນຄ້ອງ
ບາດພ້ອມທັງຕັດແທບຜ້າເພື່ຶອເປັນສັນຍາໃນການເປີດກິລາເຂດ ຄັ້ງນີ້ຢ່າງເປັນທາງການ
ຈ່ອຍສກຂຫຼວງພະບາງ ສະຫງວນລິຂະສິດ
ພະແນກສຶກສາທິການ ແຂວງຫຼວງພະບາງ
ບ້ານວຽງໃໝ່ ເມືອງຫຼວງພະບາງ
ແຂວງຫຼວງພະບາງ ໜ້າພິເສດ
ວິກິພີເດຍ ຂ້າມໄປຫາ
ປ້າຍບອກທາງ ຄົ້ນຫາ
ໂອນໜ້າ ເຂົ້າສູ່ລະບົບ
ຂໍ້ຄວາມ ລະບົບ
ນະໂຍບາຍຄວາມເປັນສ່ວນຕົວ ກ່ຽວກັບ
ວິກິພີເດຍ ສົມບັດ
ສົມພອນ ພາສາໄທ
ດ້ວຍອັກສອນລາວ ອາດຍາເອີຍ
ພາສາໄທບ້ານແມ່ເຈົ້າແມ່ນແນວນີ້ຫວາ ອັນນີ້ແມ່ນພາສາລາວທີ່ສະກົດຕາມເຄົ້າພາສາບາລີ
ແລະສັນສກິດເດີ ກ່ຽວກັບຜົນຂອງການສອບເສັງຊີງທຶນການສຶກສາ
ຄັດເລືອກນັກສຶກສາ<xmlnamespace ເຂົ້າຮຽນລະດັບປະລິນຍາຕີ
ຂອງມະຫາວິທະຍາໄລ ບັນດາທ່ານ
ນ້ອງນັກຮຽນ​ ນັກສຶກສາ
ຜູ້ທີ່ໄດ້ເຂົ້າຮ່ວມການສອບເສັງ ແລະທຸກໆຊັ້ນຄົນໃນທົ່ວສັງຄົມລາວ
ທຶນປະເພດa ແມ່ນສາມາດໄດ້ຮັບທຶນການສຶກສາເພື່ອໄປຮຽນຕໍ່ຢູ່ປະເທດຈີນໂດຍກົງ
ໂດຍຈະໄດ້ຮັບນະໂຍບາຍໃນການຍົກເວັ້ນຄ່າຮຽນ ຕະຫຼອດໄລຍະເວລາທີ່ສຶກສາຢູ່ມະຫາວິທະຍາໄລ
ແລະນາມສະກຸນພາສາອັງກິດ ທຶນປະເພດ
ແມ່ນສາມາດໄດ້ຮັບທຶນການສຶກສາ ດ້ວຍການຍົກເວັ້ນຄ່າຮຽນ
ໃນການຮຽນລະດັບປະລິນຍາຕີ ຢູ່ມະຫາວິທະຍາໄລ
ທຶນປະເພດ ແມ່ນສາມາດໄດ້ຮັບທຶນການສຶກສາດ້ວຍການຍົກເວັ້ນຄ່າຮຽນ
ໃນການຮຽນລະດັບປະລິນຍາຕີປີທີ ຢູ່ມະຫາວິທະຍາໄລ
ທຶນປະເພດ ແມ່ນສາມາດເຂົ້າຮຽນລະດັບປະລິນຍາຕີ
ຢູ່ມະຫາວິທະຍາໄລ ແລະຈະໄດ້ຮັບທຶນເຂົ້າຮຽນບໍາລຸງພາສາຈີນ
ຊຸດທີ ເລີ່ມເປີດຄັ້ງວັນທີ
ຢູ່ສູນບໍາລຸງພາສາຈີນ ຂອງມະຫາວິທະຍາໄລ
ໂດຍບໍ່ເສຍຄ່າ ຂໍແຈ້ງມາຍັງຜູ້ທີ່ມີລາຍຊື່ໄດ້ຮັບທຶນຂ້າງເທິງ
ໃຫ້ເຂົ້າໄປພົວພັນ ປະກອບເອກະສານຕ່າງໆທີ່ກ່ຽວຂ້ອງໃນການເຂົ້າຮຽນ
ຂອງມະຫາວິທະຍາໄລ ໄດ້ແຕ່ວັນທີ່
ເປັນຕົ້ນໄປ ມະຫາວິທະຍາໄລ
ຫຼິ້ນ​ເກມ​ອອນ​ໄລ​ນ​໌​ສໍາ​ລັບ​ການ ຫຼິ້ນ​ອອນ​ໄລ​ນ​໌
ຊື່​ສາ​ທາງ​ເລືອກ​ ອອນໄລນ໌
ຊົນບັນດາເຜົ່າຜູ້ໃຊ້ແລະສັດ ເກມຟຣີ
ອອນໄລນຈາກຜູ້ພັດທະນາເກົາຫຼີ ເກມນີ້ມີຮູບພາບສອງມິຕິລະດັບ
ແລະສະຫນັບສະຫນູນສໍາລັບການ ໃດກໍ່ຕາມ
ທ່ານສາມາດສຽບໃນແລະຫຼິ້ນ ໃນເກມນີ້ທ່ານສາມາດກາຍເປັນ
ສີທີ່ນີ້ ເຊື່ອໃນ
ຂອງເຂົາເຈົ້າ ການບິນ
ຊົມເຊີຍຜົນສຳເລັດກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ
ຂອງພັກ ຢ່າງສຸດໃຈ
ຍົກສູງຄວາມສາມາດນຳພາ ລັກສະນະນຳໜ້າຂອງພັກ
ເພີ່ມທະວີມະຫາສາມັກຄີທົ່ວປະເທດປວງຊົນທັງຊາດ ຢືດໝັ້ນແນວທາງປ່ຽນແປງໃໝ່ຮອບດ້ານ
ມີຫຼັກການ ປົກຮັກສາ
ພັດທະນາຊາດຕາມທິດຍືນຍົງ ສູ່ຈຸດໝາຍສັງຄົມນິຍົມຢ່າງໜັກແໜ້ນ
ນະໂຍບາຍພັກລັດ ງານແຂ່ງຂັນກິລາ
ມິດຕະພາບ ແລກປ່ຽນສິ
ວັນນະຄະດີນັກຮຽນ ມັດທະຍົມ
ແຂວງພາກເໜືອ ຂອງລາວ
ແຂວງດ່ຽນ ຫວຽດນາມ
ຄັ້ງທີ ແຂວງຫຼວງນ້ຳທາເປັນເຈົ້າ
ພາບໄດ້ຈັດຂຶ້ນຢ່າງເປັນທາງ ການຫວ່າງບໍ່ດົນມານີ້
ທີ່ສະ ໜາມກິລາແຂວງຫຼວງນ້ຳທາ
ເປັນກຽດກ່າວເປີດງານແຂ່ງ ຂັນກິລາດັ່ງກ່າວຂອງທ່ານ
ເພັງພາວັນ ດາວພອນຈະ
ກຳມະການປະຈຳພັກ ຮອງເຈົ້າແຂວງຫຼວງນ້ຳ
ມີບັນດາຫົວໜ້າພະແນກ ການອົງການທຽບເທົ່າ
ນຳນັກກິລາແຕ່ລະແຂວງ ມວນຊົນຊາວຫຼວງນ້ຳທາ
ເຂົ້າ ຮ່ວມຢ່າງຫຼວງຫຼາຍ
ໃນພິທີ ຜູ້ເຂົ້າຮ່ວມໄດ້ຊົມກ້ອນສວນ
ສະໜາມ ໂດຍເລີ່ມຕົ້ນດ້ວຍ
ຂະບວນກອງດຸລິຍາງ ເຍົາວະຊົນ
ກ້ອນນັກຮຽນມັດ ທະຍົມສຶກສາ
ຂະບວນຄູ ອາຈານ
ກ້ອນກຳລັງການຕັດ ກ້ອນກຳລັງຄະນະນຳນັກ
ຄູຝຶກ ນັກກິລາ
ວັນນະຄະດີຈາກແຂວງ ດຽນບຽນ
ຫວຽດນາມ ແຂວງພາກເໜືອຂອງ
ລາວຄື ຫຼວງນ້ຳທາ
ບໍ່ແກ້ວ ອຸດົມໄຊ
ຜົ້ງສາລີ ຫຼວງພະບາງ
ເພື່ອຮັດແໜ້ນຄວາມສາ ມັກຄີແບບພິເສດລະຫວ່າງ
ແຂວງດຽນບຽນກັບ ພາກເໜືອຂອງລາວກໍຄືສອງ
ພັກສອງລັດ ລາວຫວຽດນາມ
ໃຫ້ໝັ້ນຄົງຕະຫຼອດໄປ ແຂ່ງຂັນກິລາມິດຕະພາບຄັ້ງ
ນີ້ມີ ປະເພດກິລາຄື
ບານເຕະຊາຍ ດອກປີກໄກ່
ຄູ່ປະສົມ ກະຕໍ້
ໜ້າເກັກຊາຍ ສ່ວນການແລກປ່ຽນສິລະປະ
ວັນນະຄະດີ ແຂວງລະ
ການຄື ຮ້ອງເພງ
ລິຂະສິດ ສະຫງວນໄວ້ເຊິງສິດທັງຫມົດ
ຫນັງສືພິມປະຊາຊົນ ສຳນັກງານເລກທີ
ຖະໜົນກຳແພງເມືອງ ນະຄອນຫຼວງວຽງຈັນ
